"paper","authors","title","position","contribution ID"
"THP082","H.W. Kim, K. Oang, S. Park, N.A. Vinokurov, I.H. Baek, K.H. Jang, Y.U. Jeong, K. Lee, J. Kim, J. Shin, S. H. Park","Sub-100 Femtosecond Ultrafast Electron Diffraction at KAERI",,2150
"THP084","F. Curbis, J. Andersson, L. Isaksson, M. Kotur, F. Lindau, E. Mansten, M.A. Pop, H. Tarawneh, P.F. Tavares, S. Thorin, S. Werin, M. Larsson, P.M. Salen, J.A. Sellberg, P. Johnsson, W. Qin, S. Bonetti, A. Nilsson, V.A. Goryashko","Status of the Soft X-Ray Laser (SXL) Project at MAX IV Laboratory",749,1985
"THP085","R. Ganter, G. Aeppli, A. Al Haddad, J. Alex, C. Arrell, V.R. Arsov, S. Bettoni, C. Bostedt, H.-H. Braun, M. Calvi, T. Celcer, P. Craievich, R. Follath, F. Frei, N. Gaiffi, Z. Geng, C.H. Gough, M. Huppert, R. Ischebeck, H. Joehri, P.N. Juranic, B. Keil, F. Loehl, F. Marcellini, G. Marinkovic, G.L. Orlandi, C. Ozkan Loch, M. Paraliev, L. Patthey, M. Pedrozzi, C. Pradervand, E. Prat, S. Reiche, T. Schietinger, T. Schmidt, K. Schnorr, C. Svetina, A. Trisorio, C. Vicario, D. Voulot, U.H. Wagner, A.C. Zandonella","Status of Athos, the Soft X-Ray FEL Line of SwissFEL",753,1918
"THP086","S. Reiche, E. Ferrari, E. Prat, T. Schietinger","Operation Modes of the SwissFEL Soft X-Ray Beamline Athos",757,2345
"TUA01","S. Liu, F. Brinker, W. Decking, L. Froehlich, R. Kammering, D. Noelle, F. Obier, E. Schneidmiller, M. Scholz, T. Wilksen, M.V. Yurkov, R. Boll, N. Gerasimova, T. Mazza, M. Meyer, A. Scherz, H. Sinn","Parallel Operation of SASE1 and SASE3 at the European XFEL",25,1876
"TUA02","A.A. Lutman","Two-Pulse Schemes in Soft and Hard X-Ray FELs: Robustness Analysis of State-of-the-Art Solutions",,1645
"TUA03","A. Malyzhenkov, Y.P. Arbelo, S. Bettoni, P. Craievich, P. Dijkstal, E. Ferrari, P.N. Juranic, E. Prat, S. Reiche","Generation of Sub-Femtosecond X-Ray Pulses at SwissFEL",,2192
"TUA04","E. Schneidmiller, F. Brinker, W. Decking, M.W. Guetg, S. Liu, D. Noelle, M. Scholz, M.V. Yurkov, I. Zagorodnov, N. Gerasimova, Y. Li, J. Liu, L. Samoylova, H. Sinn, F. Wolff-Fabris, G. Geloni, J. Grünert, S. Karabekyan, N.G. Kujala, J. Laksman, Th. Maltezopoulos, I. Petrov, S. Serkez","Harmonic Lasing Experiment at the European XFEL",29,1822
"TUB01","P. Rebernik Ribic","Echo-Enabled Harmonic Generation Lasing of the FERMI FEL in the Soft X-Ray Spectral Region",33,1914
"TUB02","I. Inoue, T. Hara","Reflection Self-Seeding at SACLA",,1871
